Time	Raw Data				
0	29383.00		29974576		0
0.004032258	29392.00		10950.9149618847-23785.0783589662i	0.12109375	26184.96689
0.008064516	29382.00		2311.25714234677-4539.0319790778i	0.2421875	5093.596066
0.012096774	29393.00		2928.78416025019+19.0466658388077i	0.36328125	2928.846092
0.016129032	29389.00		3288.36533415076-4564.73083568758i	0.484375	5625.843419
0.02016129	29382.00		-3578.73406959642+1811.28910865284i	0.60546875	4010.998102
0.024193548	29401.00		645.283552997663-2852.20383894954i	0.7265625	2924.287538
0.028225806	29399.00		-2599.79729959192+498.454445685182i	0.84765625	2647.149945
0.032258065	29406.00		1644.30829757565-3367.14701948172i	0.96875	3747.189457
0.036290323	29405.00		-1268.48197355716+3419.48858604739i	1.08984375	3647.183668
0.040322581	29400.00		9064.72200917056-4418.13068977619i	1.2109375	10084.09956
0.044354839	29402.00		2295.69778611808-2065.17841550977i	1.33203125	3087.910331
0.048387097	29395.00		8779.85131830923+7184.10261883762i	1.453125	11344.47529
0.052419355	29392.00		-7757.40781233418-7065.07022204613i	1.57421875	10492.50176
0.056451613	29381.00		17676.7823465319-27735.7402910429i	1.6953125	32889.81489
0.060483871	29376.00		-2331.72935713317+8323.3069892588i	1.81640625	8643.749246
0.064516129	29379.00		2625.06479224479+9650.93318194823i	1.9375	10001.5737
0.068548387	29369.00		7368.50512962624+1265.96873868037i	2.05859375	7476.466056
0.072580645	29371.00		-5369.68396167359+306.367690611897i	2.1796875	5378.416775
0.076612903	29368.00		-5974.56030077394-1689.21455351339i	2.30078125	6208.76933
0.080645161	29362.00		566.229613620302-942.305350895406i	2.421875	1099.343145
0.084677419	29346.00		2346.38772326702-571.095642238144i	2.54296875	2414.888316
0.088709677	29326.00		-3264.80102640623+1736.77017521163i	2.6640625	3698.012491
0.092741935	29306.00		2243.56482507281-2286.86195220514i	2.78515625	3203.641789
0.096774194	29289.00		-1785.8744668565-480.555693320899i	2.90625	1849.400277
0.100806452	29289.00		-2548.15039959523-516.27332301486i	3.02734375	2599.92473
