# SEGGER J-Link RTT Viewer V6.16a Terminal Log File
# Compiled: 12:44:10 on Jun  6 2017
# Logging started @ 03 Dec 2018 15:41:29
 0> <info> app: Right Press
 0> <info> app: Left Press
 0> <info> app: BATT Reading...
 0> <info> app: [OK]	Max30102 Already and background working is begin
 0> 
 0> <info> app: [OK]	HR sample count 707
 0> 
 0> Plus Signal 1, 10
 0> Minus Signal -1, 30
 0> plus_index 10, minus_index 30, Peak Index, 10,11,12,13,14,15,16,17,18,19,20,21,22,23,, AVR Peak Index, 16, HR 0, Reject out of 30-180.
 0> Plus Signal 1, 102
 0> Minus Signal -1, 143
 0> plus_index 102, minus_index 143, Peak Index, 113,114,115,, AVR Peak Index, 114, HR 41
 0> Plus Signal 1, 159
 0> Minus Signal -1, 210
 0> plus_index 159, minus_index 210, Peak Index, 195,196,40,
 0> hr,1,76977,95124,-1.00,0,5
 0> hr,2,76973,95138,0.00,0,19
 0> hr,3,76979,95127,0.00,0,7
 0> hr,4,76968,95112,0.00,0,-8
 0> hr,5,76973,95120,0.00,0,0
 0> hr,6,76968,95122,0.00,0,2
 0> hr,7,76977,95125,0.00,0,5
 0> hr,8,76964,95134,0.00,0,13
 0> hr,9,76975,95117,0.00,0,-3
 0> hr,10,76973,95116,1.00,1,-4
 0> hr,11,76957,95120,1.00,1,0
 0> hr,12,76974,95118,1.00,1,-2
 0> hr,13,76960,95116,1.00,1,-4
 0> hr,14,76964,95115,1.00,1,-5
 0> hr,15,76965,95121,1.00,1,1
 0> hr,16,76968,95108,1.00,1,-11
 0> hr,17,76972,95121,1.00,1,1
 0> hr,18,76969,95111,1.00,1,-8
 0> hr,19,76971,95106,1.00,1,-12
 0> hr,20,76968,95100,1.00,1,-18
 0> hr,21,76966,95116,1.00,1,-1
 0> hr,22,76960,95098,1.00,1,-19
 0> hr,23,76973,95107,1.00,1,-9
 0> hr,24,76957,95099,0.00,0,-16
 0> hr,25,76962,95104,0.00,0,-11
 0> hr,26,76963,95100,0.00,0,-14
 0> hr,27,76955,95105,0.00,0,-8
 0> hr,28,76962,95101,0.00,0,-12
 0> hr,29,76961,95089,0.00,0,-23
 0> hr,30,76958,95091,-1.00,-1,-20
 0> hr,31,76960,95078,-1.00,-1,-32
 0> hr,32,76964,95093,-2.00,-1,-15
 0> hr,33,76957,95073,-2.00,-1,-35
 0> hr,34,76952,95088,-3.00,-1,-18
 0> hr,35,76963,95085,-3.00,-1,-20
 0> hr,36,76965,95087,-4.00,-1,-17
 0> hr,37,76976,95090,-4.00,-1,-13
 0> hr,38,76963,95080,-5.00,-1,-22
 0> hr,39,76961,95084,-6.00,-1,-17
 0> hr,40,76960,95078,-6.00,-1,-22
 0> hr,41,76965,95093,-7.00,-1,-6
 0> hr,42,76962,95084,-7.00,-1,-15
 0> hr,43,76966,95088,-8.00,-1,-10
 0> hr,44,76968,95085,-8.00,-1,-13
 0> hr,45,76977,95089,-9.00,-1,-8
 0> hr,46,76973,95089,-9.00,-1,-7
 0> hr,47,76966,95092,-10.00,-1,-4
 0> hr,48,76963,95081,-10.00,-1,-15
 0> hr,49,76960,95073,-10.00,-1,-22
 0> hr,50,76951,95084,-11.00,-1,-10
 0> hr,51,76965,95077,-11.00,-1,-16
 0> hr,52,76976,95089,-11.00,-1,-4
 0> hr,53,76966,95096,-11.00,-1,3
 0> hr,54,76965,95085,-12.00,-1,-8
 0> hr,55,76972,95080,-12.00,-1,-12
 0> hr,56,76958,95088,-12.00,-1,-4
 0> hr,57,76977,95102,-12.00,-1,10
 0> hr,58,76963,95103,-12.00,-1,10
 0> hr,59,76976,95109,-12.00,-1,16
 0> hr,60,76966,95095,-12.00,-1,1
 0> hr,61,76980,95094,-11.00,-1,0
 0> hr,62,76973,95095,-11.00,-1,1
 0> hr,63,76977,95107,-11.00,-1,13
 0> hr,64,76976,95101,-10.00,-1,6
 0> hr,65,76973,95095,-10.00,-1,0
 0> hr,66,76975,95104,-10.00,-1,9
 0> hr,67,76979,95092,-9.00,-1,-3
 0> hr,68,76979,95098,-9.00,-1,2
 0> hr,69,76980,95112,-8.00,-1,16
 0> hr,70,76982,95092,-8.00,-1,-4
 0> hr,71,76987,95097,-7.00,-1,1
 0> hr,72,76975,95097,-7.00,-1,1
 0> hr,73,76974,95100,-7.00,-1,4
 0> hr,74,76973,95096,-6.00,-1,0
 0> hr,75,76973,95091,-6.00,-1,-5
 0> hr,76,76982,95101,-5.00,-1,5
 0> hr,77,76985,95095,-5.00,-1,-1
 0> hr,78,76988,95099,-4.00,-1,2
 0> hr,79,76974,95106,-4.00,-1,9
 0> hr,80,76979,95092,-4.00,-1,-4
 0> hr,81,76971,95091,-3.00,-1,-5
 0> hr,82,76986,95089,-3.00,-1,-7
 0> hr,83,76984,95097,-3.00,-1,1
 0> hr,84,76986,95089,-2.00,-1,-6
 0> hr,85,76980,95102,-2.00,-1,6
 0> hr,86,76980,95096,-2.00,-1,0
 0> hr,87,76983,95096,-2.00,-1,0
 0> hr,88,76992,95098,-1.00,-1,2
 0> hr,89,76980,95100,-1.00,-1,3
 0> hr,90,76990,95089,-1.00,-1,-7
 0> hr,91,76991,95091,-1.00,-1,-4
 0> hr,92,76982,95099,-1.00,-1,3
 0> hr,93,76985,95096,0.00,0,0
 0> hr,94,76976,95107,0.00,0,11
 0> hr,95,76988,95100,0.00,0,3
 0> hr,96,76990,95105,0.00,0,8
 0> hr,97,76993,95105,0.00,0,8
 0> hr,98,76983,95105,0.00,0,7
 0> hr,99,76993,95113,0.00,0,15
 0> hr,100,76994,95121,0.00,0,22
 0> hr,101,77006,95096,0.00,0,-3
 0> hr,102,76996,95104,1.00,1,4
 0> hr,103,76988,95114,1.00,1,14
 0> hr,104,76987,95110,1.00,1,9
 0> hr,105,76995,95098,1.00,1,-2
 0> hr,106,76998,95095,2.00,1,-5
 0> hr,107,76994,95099,2.00,1,-1
 0> hr,108,77001,95105,2.00,1,4
 0> hr,109,76994,95094,2.00,1,-6
 0> hr,110,77001,95099,2.00,1,-1
 0> hr,111,76993,95099,2.00,1,-1
 0> hr,112,76996,95090,2.00,1,-10
 0> hr,113,76981,95110,3.00,1,10
 0> hr,114,76980,95091,3.00,1,-9
 0> hr,115,76985,95094,3.00,1,-5
 0> hr,116,76990,95092,2.00,1,-7
 0> hr,117,76988,95092,2.00,1,-7
 0> hr,118,76985,95093,2.00,1,-5
 0> hr,119,76985,95098,2.00,1,0
 0> hr,120,76984,95082,2.00,1,-16
 0> hr,121,76988,95089,2.00,1,-8
 0> hr,122,76994,95104,2.00,1,6
 0> hr,123,76994,95092,1.00,1,-5
 0> hr,124,76994,95092,1.00,1,-5
 0> hr,125,76993,95090,1.00,1,-6
 0> hr,126,76995,95088,1.00,1,-8
 0> hr,127,76989,95097,1.00,1,0
 0> hr,128,76994,95088,0.00,0,-8
 0> hr,129,77000,95100,0.00,0,4
 0> hr,130,76995,95102,0.00,0,5
 0> hr,131,77011,95091,0.00,0,-5
 0> hr,132,76986,95096,0.00,0,0
